"model_list_clean","model_common"
"Aliivibrio fischeri","NA"
"Ambystoma mexicanum","c(""Axolotl"", ""Salamandra ajolote"")"
"Amphimedon queenslandica","NA"
"Anolis carolinensis","c(""Green Anole"", ""Anolis verde"", ""anole vert"")"
"Aplysia","NA"
"Arabidopsis thaliana","c(""mouseear cress"", ""mouse-ear cress"")"
"Arbacia punctulata","c(""purple-spined sea urchin"", ""purple-spined sea urchin"")"
"Ashbya gossypii","NA"
"Aspergillus nidulans","NA"
"Azotobacter vinelandii","NA"
"Bacillus subtilis","NA"
"Boechera","NA"
"Bombina bombina","NA"
"Bombina variegata","NA"
"Brachypodium distachyon","c(""purple false brome"", ""purple falsebrome"")"
"Branchiostoma floridae","NA"
"C. elegans","NA"
"Caenorhabditis elegans","NA"
"Callosobruchus maculatus","NA"
"Canis lupus familiaris","domestic dog"
"Caulobacter crescentus","NA"
"Cavia porcellus","Domesticated Guinea Pig"
"Chlamydomonas","NA"
"Chlamydomonas reinhardtii","NA"
"Chorthippus parallelus","NA"
"Ciona intestinalis","NA"
"Columba livia domestica","NA"
"Coprinus cinereus","NA"
"Cryptococcus neoformans","NA"
"Danio rerio","zebra danio"
"Daphnia spp.","NA"
"Dictyostelium discoideum","NA"
"Drosophila","NA"
"Drosophila melanogaster","NA"
"Emiliania huxleyi","NA"
"Escherichia coli","NA"
"Euprymna scolopes","NA"
"Felis sylvestris catus","NA"
"Galleria mellonella","NA"
"Gallus gallus domesticus","NA"
"Gasterosteus aculeatus","c(""Alaskan stickleback"", ""threespine stickleback"", ""espinocho"", ""épinoche à trois épines"")"
"Genomics","NA"
"Gryllus bimaculatus","NA"
"Heterocephalus glaber","Naked Mole-rat"
"Hydra","NA"
"Lemna gibba","c(""swollen duckweed"", ""inflated duckweed"")"
"Loligo pealei","longfin inshore squid"
"Lotus japonicus","NA"
"Lymnaea stagnalis","swamp lymnaea"
"Macaca mulatta","c(""Rhesus Monkey"", ""Rhesus Macaque"")"
"Macrostomum lignano","NA"
"Marchantia polymorpha","NA"
"Medicago truncatula","barrelclover"
"Mesocricetus auratus","Golden Hamster"
"Mimulus guttatus","c(""common monkeyflower"", ""seep monkeyflower"")"
"Mnemiopsis leidyi","sea walnut"
"Molecular evolution","NA"
"Mus musculus","c(""souris commune"", ""House Mouse"")"
"Mycoplasma genitalium","NA"
"Myotis lucifugus","c(""little brown bat"", ""Miotis norteamericano"", ""little brown myotis"", ""petite chauve-souris brune"", ""Little Brown Myotis"")"
"Naegleria gruberi","NA"
"Nematostella vectensis","NA"
"Neurospora crassa","NA"
"Nicotiana benthamiana","NA"
"Nicotiana tabacum","cultivated tobacco"
"Nothobranchius furzeri","NA"
"Oikopleura dioica","NA"
"Ormia ochracea","NA"
"Oryza sativa","rice"
"Oryzias latipes","c(""Japanese killifish"", ""Japanese medaka"", ""ricefish"")"
"Oscarella carmela","NA"
"Parhyale hawaiensis","NA"
"Petromyzon marinus","c(""sea lamprey"", ""lamproie marine"", ""lake lamprey"")"
"Platynereis dumerilii","NA"
"Podisma","NA"
"Poecilia reticulata","c(""gupi"", ""guppy"", ""millions fish"", ""rainbowfish"")"
"Populus","cottonwood"
"Populus trichocarpa","black cottonwood"
"Pristionchus pacificus","NA"
"Pseudomonas fluorescens","NA"
"Quantitative genetics","NA"
"Rattus norvegicus","c(""rat surmulot"", ""Brown Rat"", ""Norway Rat"")"
"Saccharomyces cerevisiae","NA"
"Scathophaga stercoraria","NA"
"Schizophyllum commune","NA"
"Schizosaccharomyces pombe","NA"
"Schmidtea mediterranea","NA"
"Selaginella moellendorffii","NA"
"Setaria viridis","c(""green bristlegrass"", ""green bristle grass"", ""bottle grass"", ""pigeongrass"", ""wild millet"", ""green foxtail"")"
"Sigmodon hispidus","c(""Rata-algodonera crespa"", ""Hispid Cotton Rat"")"
"Stentor coeruleus","NA"
"Streptomyces coelicolor","NA"
"Strongylocentrotus purpuratus","NA"
"Symsagittifera roscoffensis","NA"
"Synechocystis","NA"
"Taeniopygia guttata","Zebra Finch"
"Takifugu rubripes","NA"
"Tetrahymena thermophila","NA"
"Thalassiosira pseudonana","NA"
"Tribolium castaneum","c(""red flour beetle"", ""tribolium rouge de la farine"")"
"Trichoplax adhaerens","NA"
"Tubifex tubifex","aquatic oligochaete worm"
"Ustilago maydis","corn smut"
"Xenopus laevis","c(""African Clawed Frog"", ""Rana-de garras africana"")"
"Xenopus tropicalis","NA"
"Zea mays","corn"
